This file contains fake odds ratio data for each violence type indexed by behavior. This data will be imported into the sample python script for proof-of-concept 2.0 using numpy arrays and the odds ratios will be summed.
Trait,weapons_use_OR,stealing_OR,fighting_OR,drug_use_OR,making_threats_OR,verbal_bullying_OR,vandalism_OR,cyber_bullying_OR,gang_activities_OR,intimidation_OR,ostracizing_OR,sexual_harrassment_OR
Abandoning commitments,2.1,3.3,3.1,5.4,3.3,8.5,19.8,6.6,1.1,2.3,6.8,2.2
Abandonment of friends and social groups,4.2,2.8,2.8,9.1,2.1,3.9,1.4,6.8,2.3,3.5,4.6,1.3
Abandonment or loss of interest in favorite pastimes,4.2,2.8,2.8,9.1,2.1,3.9,1.4,6.8,2.3,3.5,4.6,1.3
Academic problems,2.1,3.3,3.1,5.4,3.3,8.5,19.8,6.6,1.1,2.3,6.8,2.2
Aggressive behavior,8.5,3.3,8.5,3.3,12.5,8.5,8.5,8.5,8.5,12.8,5.8,9.3
An awkward phase,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Anger and irritability,4.3,1.1,9.7,5.4,8.9,3.8,2.9,1.9,2.4,3.2,8.6,2.6
"Appears fearful anxious or paranoid",6.3,2.2,8.8,13.3,10.2,9.8,2.2,11.9,1.1,8.8,7.3,1.1
Attitude. Teenager and bad attitude,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Avoidance of food and noticeable changes in eating habits should trigger concern.,1.1,3.3,2.9,8.3,1.1,4.2,3.2,10.8,1,6.9,13.8,2.9
Body image issues,1.1,3.3,2.9,8.3,1.1,4.2,3.2,10.8,1,6.9,13.8,2.9
Changes in eating habits,1.1,3.3,2.9,8.3,1.1,4.2,3.2,10.8,1,6.9,13.8,2.9
Changes in eating patterns that result in dramatic weight gain or loss,1.1,3.3,2.9,8.3,1.1,4.2,3.2,10.8,1,6.9,13.8,2.9
"Changes in personality (becomes more aggressive angry withdrawn etc.)",6.3,2.2,8.8,13.3,10.2,9.8,2.2,11.9,1.1,8.8,7.3,1.1
Changes in sleep patterns,1.1,2.4,2.1,4.8,3.1,2.8,1.1,2.3,0.8,1.4,2.3,2.1
Curfew violations,0.9,6,2.3,4.2,1,0.3,9.8,1.3,4.6,1.1,3.3,2.4
Defiance,8.5,3.3,8.5,3.3,12.5,8.5,8.5,8.5,8.5,12.8,5.8,9.3
Difficulty concentrating,1.1,2.4,2.1,4.8,3.1,2.8,1.1,2.3,0.8,1.4,2.3,2.1
Dramatic changes in eating habits,1.1,3.3,2.9,8.3,1.1,4.2,3.2,10.8,1,6.9,13.8,2.9
Eating habits that result in noticeable weight loss or gain,1.1,3.3,2.9,8.3,1.1,4.2,3.2,10.8,1,6.9,13.8,2.9
Excessive isolation,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Excessive moodiness and tears,6.3,2.2,8.8,13.3,10.2,9.8,2.2,11.9,1.1,8.8,7.3,1.1
